date;Owners;event;link;color;Price;val3;game
22.11.2019;4875000;;;;29.99;;Portal 2 
23.11.2019;4890000;;;;29.99;;Portal 2 
24.11.2019;4889000;;;#2B6A94;29.99;;Portal 2 
25.11.2019;4869000;;;;29.99;;Portal 2 
26.11.2019;4864000;;;;29.99;;Portal 2 
27.11.2019;4872000;;;;7.49;;Portal 2 
28.11.2019;4877000;;;;7.49;;Portal 2 
29.11.2019;4882000;;;;7.49;;Portal 2 
30.11.2019;4898000;;;;7.49;;Portal 2 
01.12.2019;4899000;;;#2B6A94;7.49;;Portal 2 
02.12.2019;4887000;;;;7.49;;Portal 2 
03.12.2019;4878000;;;;7.49;;Portal 2 
04.12.2019;4871000;;;;29.99;;Portal 2 
05.12.2019;4873000;;;;29.99;;Portal 2 
06.12.2019;4871000;;;;29.99;;Portal 2 
07.12.2019;4889000;;;;29.99;;Portal 2 
08.12.2019;4890000;;;#2B6A94;29.99;;Portal 2 
09.12.2019;4876000;;;;29.99;;Portal 2 
10.12.2019;4870000;;;;29.99;;Portal 2 
11.12.2019;4872000;;;;29.99;;Portal 2 
12.12.2019;4869000;;;;29.99;;Portal 2 
13.12.2019;4872000;;;;29.99;;Portal 2 
14.12.2019;4885000;;;;29.99;;Portal 2 
15.12.2019;4891000;;;#2B6A94;29.99;;Portal 2 
16.12.2019;4879000;;;;29.99;;Portal 2 
17.12.2019;4873000;;;;29.99;;Portal 2 
18.12.2019;4869000;;;;29.99;;Portal 2 
19.12.2019;4876000;;;;29.99;;Portal 2 
20.12.2019;4881000;;;;7.49;;Portal 2 
21.12.2019;4909000;;;;7.49;;Portal 2 
22.12.2019;4912000;;;#2B6A94;7.49;;Portal 2 
23.12.2019;4905000;;;;7.49;;Portal 2 
24.12.2019;2263000;;;;7.49;;Portal 2 
25.12.2019;4907000;;;;7.49;;Portal 2 
26.12.2019;4910000;;;;7.49;;Portal 2 
27.12.2019;4910000;;;;7.49;;Portal 2 
28.12.2019;4915000;;;;7.49;;Portal 2 
29.12.2019;4915000;;;#2B6A94;7.49;;Portal 2 
30.12.2019;4916000;;;;7.49;;Portal 2 
31.12.2019;4913000;;;;7.49;;Portal 2 
01.01.2020;4926000;;;;7.49;;Portal 2 
02.01.2020;1417000;;;;7.49;;Portal 2 
03.01.2020;2275000;;;;29.99;;Portal 2 
04.01.2020;4925000;;;;29.99;;Portal 2 
05.01.2020;4925000;;;#2B6A94;29.99;;Portal 2 
06.01.2020;4923000;;;;29.99;;Portal 2 
07.01.2020;4907000;;;;29.99;;Portal 2 
